month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2025-01-01,A DIVISION,1,1,8510,10164,0.83726877
2025-01-01,A DIVISION,1,2,2335,2847,0.8201616
2025-01-01,A DIVISION,2,1,5065,7100,0.7133803
2025-01-01,A DIVISION,2,2,1358,2140,0.6345794
2025-01-01,A DIVISION,3,1,5396,6562,0.82231027
2025-01-01,A DIVISION,3,2,1426,1983,0.71911246
2025-01-01,A DIVISION,4,1,6521,8142,0.80090886
2025-01-01,A DIVISION,4,2,2284,2736,0.8347953
2025-01-01,A DIVISION,5,1,5416,7140,0.75854343
2025-01-01,A DIVISION,5,2,2093,2273,0.9208095
2025-01-01,A DIVISION,6,1,10367,12254,0.8460095
2025-01-01,A DIVISION,6,2,2419,2784,0.8688937
2025-01-01,A DIVISION,7,1,13193,14121,0.9342823
2025-01-01,A DIVISION,7,2,2528,2816,0.89772725
2025-01-01,A DIVISION,S 42nd,1,11874,11876,0.9998316
2025-01-01,A DIVISION,S 42nd,2,3558,3568,0.99719733
2025-01-01,B DIVISION,A,1,6840,8515,0.80328834
2025-01-01,B DIVISION,A,2,2765,3372,0.81998813
2025-01-01,B DIVISION,B,1,2897,4734,0.61195606
2025-01-01,B DIVISION,C,1,3488,4884,0.7141687
2025-01-01,B DIVISION,C,2,641,774,0.82816535
2025-01-01,B DIVISION,D,1,5227,6778,0.77117145
2025-01-01,B DIVISION,D,2,2589,2819,0.9184108
2025-01-01,B DIVISION,E,1,7186,9020,0.7966741
2025-01-01,B DIVISION,E,2,2149,2464,0.87215906
2025-01-01,B DIVISION,F,1,5924,8624,0.6869202
2025-01-01,B DIVISION,F,2,1486,1874,0.79295623
2025-01-01,B DIVISION,G,1,4827,6796,0.71027076
2025-01-01,B DIVISION,G,2,1576,2315,0.68077755
2025-01-01,B DIVISION,JZ,1,5842,6543,0.8928626
2025-01-01,B DIVISION,JZ,2,2016,2200,0.91636366
2025-01-01,B DIVISION,L,1,10960,12004,0.913029
2025-01-01,B DIVISION,L,2,3582,3882,0.92272025
2025-01-01,B DIVISION,M,1,5813,6422,0.9051697
2025-01-01,B DIVISION,M,2,2175,2244,0.96925133
2025-01-01,B DIVISION,N,1,7952,10384,0.7657935
2025-01-01,B DIVISION,N,2,1642,2074,0.79170686
2025-01-01,B DIVISION,Q,1,5734,7253,0.7905694
2025-01-01,B DIVISION,Q,2,3043,3358,0.90619415
2025-01-01,B DIVISION,R,1,4773,6596,0.72362036
2025-01-01,B DIVISION,R,2,1557,1780,0.8747191
2025-01-01,B DIVISION,S Fkln,1,5130,5180,0.9903475
2025-01-01,B DIVISION,S Fkln,2,2136,2142,0.9971989
2025-01-01,B DIVISION,S Rock,1,3602,3713,0.97010505
2025-01-01,B DIVISION,S Rock,2,1100,1117,0.98478067
2025-02-01,A DIVISION,1,1,7077,8754,0.80843043
2025-02-01,A DIVISION,1,2,2261,2646,0.8544974
2025-02-01,A DIVISION,2,1,4396,6118,0.7185355
2025-02-01,A DIVISION,2,2,1336,1904,0.70168066
2025-02-01,A DIVISION,3,1,4446,5551,0.80093676
2025-02-01,A DIVISION,3,2,1243,1880,0.6611702
2025-02-01,A DIVISION,4,1,5751,7033,0.8177165
2025-02-01,A DIVISION,4,2,1789,2418,0.7398677
2025-02-01,A DIVISION,5,1,4986,6145,0.81139135
2025-02-01,A DIVISION,5,2,1496,1769,0.8456755
2025-02-01,A DIVISION,6,1,8877,10598,0.83761084
2025-02-01,A DIVISION,6,2,2291,2736,0.8373538
2025-02-01,A DIVISION,7,1,11042,12189,0.90589875
2025-02-01,A DIVISION,7,2,2824,2954,0.95599186
2025-02-01,A DIVISION,S 42nd,1,10125,10142,0.9983238
2025-02-01,A DIVISION,S 42nd,2,3419,3452,0.9904403
2025-02-01,B DIVISION,A,1,5933,7125,0.83270174
2025-02-01,B DIVISION,A,2,2182,2530,0.8624506
2025-02-01,B DIVISION,B,1,2697,4056,0.66494083
2025-02-01,B DIVISION,C,1,3122,4218,0.74016124
2025-02-01,B DIVISION,C,2,1172,1410,0.83120567
2025-02-01,B DIVISION,D,1,4283,5764,0.74306035
2025-02-01,B DIVISION,D,2,1565,1944,0.80504113
2025-02-01,B DIVISION,E,1,5765,7790,0.7400513
2025-02-01,B DIVISION,E,2,1522,1896,0.8027426
2025-02-01,B DIVISION,F,1,5020,7448,0.67400646
2025-02-01,B DIVISION,F,2,1146,1888,0.6069915
2025-02-01,B DIVISION,G,1,4374,5760,0.759375
2025-02-01,B DIVISION,G,2,2169,2614,0.8297628
2025-02-01,B DIVISION,JZ,1,5027,5663,0.88769203
2025-02-01,B DIVISION,JZ,2,2133,2196,0.97131145
2025-02-01,B DIVISION,L,1,9260,10366,0.89330506
2025-02-01,B DIVISION,L,2,3724,3928,0.94806516
2025-02-01,B DIVISION,M,1,4596,5510,0.8341198
2025-02-01,B DIVISION,M,2,1260,1272,0.990566
2025-02-01,B DIVISION,N,1,7048,8918,0.79031175
2025-02-01,B DIVISION,N,2,1551,2232,0.69489247
2025-02-01,B DIVISION,Q,1,4827,6021,0.8016941
2025-02-01,B DIVISION,Q,2,2656,2912,0.9120879
2025-02-01,B DIVISION,R,1,3979,5633,0.70637316
2025-02-01,B DIVISION,R,2,1651,1944,0.8492798
2025-02-01,B DIVISION,S Fkln,1,4505,4522,0.9962406
2025-02-01,B DIVISION,S Fkln,2,2137,2142,0.9976657
2025-02-01,B DIVISION,S Rock,1,3292,3306,0.99576527
2025-02-01,B DIVISION,S Rock,2,1544,1566,0.9859515
